Actual Price,Predicted Price
214.8092498779297,194.68895391954695
212.4496612548828,194.68666245269776
207.87925720214844,194.66446005358014
205.7080841064453,194.66446005358014
206.3524932861328,194.28321205139162
207.27452087402344,194.66446005358014
211.41859436035156,194.4673339600336
212.26129150390625,194.6302176524571
208.81117248535156,193.687787962414
214.8885498046875,194.66446005358014
218.37831115722656,194.31264145006455
219.6472930908203,194.30740089525497
224.39617919921875,193.19853129178006
225.8634490966797,194.31264145006455
226.71607971191406,194.30740089525497
230.9791717529297,193.63124877021428
225.61561584472656,194.37137725939073
228.56011962890625,194.56934607042587
232.386962890625,193.80201352800643
232.8033447265625,194.37137725939073
226.91436767578125,193.37838513801213
222.2547149658203,194.408692704337
222.3836212158203,194.6302176524571
222.03662109375,193.687787962414
223.0775909423828,193.63124877021428
216.66314697265625,193.36463757941837
215.62217712402344,194.37137725939073
216.088134765625,193.6285433233352
216.36575317382812,193.37755505988713
216.92095947265625,192.69192777996975
220.17274475097656,193.37755505988713
216.48471069335938,193.68549361274358
217.97183227539062,194.37137725939073
207.47279357910156,194.28321205139162
205.4502716064453,194.67278406778968
208.01805114746094,194.68895391954695
211.4781036376953,194.43638000597275
214.38290405273438,193.43458842322943
215.91146850585938,193.37755505988713
219.62364196777344,193.28022824714301
220.07029724121094,193.40072349657333
223.04795837402344,193.37755505988713
224.36807250976562,193.40854764411563
224.20925903320312,193.40308967699326
224.82464599609375,193.36463757941837
224.71548461914062,192.56874986012778
222.859375,192.55959794362388
225.15219116210938,193.37644589851018
225.48965454101562,193.34523366401314
226.3333282470703,192.56874986012778
224.80479431152344,192.55959794362388
228.0802459716797,193.28022824714301
227.29612731933594,193.7107772863479
221.1124725341797,193.80201352800643
219.20677185058594,193.68986891791937
220.7253875732422,193.37644589851018
219.17698669433594,192.69192777996975
219.26632690429688,193.687787962414
218.47227478027344,194.6302176524571
221.0032958984375,193.6285433233352
221.1124725341797,193.41308194587344
220.844482421875,193.19853129178006
214.71047973632812,192.69192777996975
215.1769561767578,194.31264145006455
219.04795837402344,193.41461713264104
227.1670684814453,194.31264145006455
226.50204467773438,194.6302176524571
224.78497314453125,194.28321205139162
225.67825317382812,194.06913984662012
224.68569946289062,193.37838513801213
225.8271484375,193.37755505988713
226.09512329101562,192.69192777996975
231.26637268066406,192.56874986012778
224.5269012451172,194.06409689312892
225.0926513671875,194.43638000597275
223.99090576171875,192.56874986012778
225.11248779296875,192.56874986012778
220.04052734375,193.19853129178006
224.09014892578125,193.3712919881912
227.83209228515625,192.56874986012778
227.33583068847656,192.56874986012778
225.85693359375,192.56874986012778
229.5790252685547,192.56874986012778
232.11004638671875,193.36463757941837
230.05543518066406,194.56934607042587
230.4226837158203,192.56874986012778
233.25148010253906,192.56874986012778
234.720458984375,193.40958758399603
234.10507202148438,192.69192777996975
229.0430145263672,193.34523366401314
228.85447692871094,193.73976036435084
229.68820190429688,192.56874986012778
231.6633758544922,193.34523366401314
231.93136596679688,192.55959794362388
228.38792419433594,192.55959794362388
224.22911071777344,193.43458842322943
221.25144958496094,194.56934607042587
220.35812377929688,194.59718618883406
221.78741455078125,193.41461713264104
221.0628204345703,192.56874986012778
225.7874298095703,194.06409689312892
225.51914978027344,193.37755505988713
222.8064727783203,193.32633389899848
222.8064727783203,193.37755505988713
223.69082641601562,193.36463757941837
226.77114868164062,193.687787962414
223.5715789794922,193.41461713264104
